Scramble,Scramble Length,Solution,Solution Length,Heuristic Type,Wall Time (ns),Node Visited
D F' L' F U D,6,U' U' R' F R U',6,All L0,23525303400,79588
B' L L B D U,6,U' U' R' U' U' R,6,All L0,23551708100,79139
F D B' R' U D,6,U' U' F U R' F',6,All L0,23548590000,79124
D F' D R L' D,6,U' R' U R',4,All L0,993169900,3324
U R F' L B R',6,R F' U' R U' F',6,All L0,38364507200,129161
F D' U' F B' R',6,R' U',2,All L0,61694500,193
F D' L' D U L' R',7,R' R' F' F' U R U',7,All L0,183685920200,619728
L' R F R' R' F B,7,F' F' U' U' F',5,All L0,1820714600,6104
U B L' B R B' R',7,R F U' R' F R' F',7,All L0,197710889200,665071
B R' U' F' B' U' R',7,F R F' F' U,5,All L0,3835621100,13003
D R' D U' B' D D,7,U' U' F' F' U',5,All L0,208604700,687
L' D' F D U' F L,7,R' U' F' U F,5,All L0,6964216000,23660
D F' F' L' R' D L',7,R F' R' R' F' F' U',7,All L0,194436675700,655855
U' D U' B' L U' F,7,F' U R' U F,5,All L0,2381620800,8020
U' U' L U' F' L' D,7,U' F R U F' U' U',7,All L0,112931479200,383400
F D' D' R' U F B,7,F' F' R' F R' R' U',7,All L0,47294435000,160045
F' L F B U' B D,7,U' R' F R' R' F' U,7,All L0,120983066200,408832
F B D L' U' B D',7,F R F' R' U R' F',7,All L0,4082653500,13762
R' L' R' D F B U,7,U' F' F' R' U',5,All L0,4136678900,13883
B B B R U' D' B,7,F' R' R' F' R,5,All L0,2627099300,8917
L' L' B' L R' D' L,7,R' F' F' U' U',5,All L0,6389444500,21603
D' F' B L B R R,7,R' R' F',3,All L0,297055200,983
D' B F R L' F' D' F,8,F' U R F' F' U,6,All L0,12090392000,40892
U F' U' R D F' R' B',8,F U R U' R' U F U',8,All L0,19142739200,64853
D F U D L D' B U,8,U' F' R U' F' F' U' F',8,All L0,532075661200,1797714
F D' R' B' F D' F U',8,U F' U' U' R F',6,All L0,26346180600,89259
L' U' R R F R D U,8,U' U' F' U' F' F' R F,8,All L0,565791728100,1915255
U' L' D' F R D B F,8,F' F' R' F R F U' R',8,All L0,238615415800,806673
L' F' F' L' R B' D' B',8,F R U F' F' R,6,All L0,20047055900,67826
U' L U' B R' F L' D',8,U F U' F U' F U' F,8,All L0,686563890100,2326385
D U B F' B' F F R',8,R F' U' U',4,All L0,1525060000,5171
B F' U' U' L R' D' L,8,R' F R' R',4,All L0,1384379100,4640
F D' D' U L U' U' B',8,F R' R' U' R F',6,All L0,19038711500,64413
F B' R' B L F' D' B,8,F' R F U' R' F,6,All L0,13742525700,46439
F' L R' L D R D U,8,U' U' F' R' F' R,6,All L0,22828386600,77140
B R' D D U' F' L' F',8,F R U F' U F',6,All L0,861591400,2900
U D' U B' R F' R L,8,R' R' U F' U R',6,All L0,37192784000,125830
B D' R D' L' F' U' U',8,U' U' F R F R' F U',8,All L0,575163786900,1943195
D B D' B' U D' R' B' L,9,R' U R' R' F U' R',7,All L0,182912887900,616806
D F' B R D' R' U' B F,9,F' F' R F U R' R',7,All L0,49087431600,166231
R' D B' L R R D' B R,9,U R F U' F' U' R,7,All L0,154237097800,522956
D L' R' U R B' U' B' D,9,U' R U' U' R' U' R,7,All L0,127571732300,430661
U D' L D' B F' L L F',9,F R' U',3,All L0,154440800,506
U F R' U L B D' R U',9,U R' U R' F' R' U R' F',9,All L0,3850337901700,12919814
D R' R' L B' U' B' D' B',9,F R U F U F R',7,All L0,101046068600,336247
U' L F' U' B L R B' F,9,U' U' R' U R F' U,7,All L0,119166917800,397788
L' U D' L F' R' L D' U',9,U' R' U,3,All L0,203424600,668
D' U D U' R' D U F U,9,U' F' U' U' F,5,All L0,4286894300,13977
L U' L' D' R F' D F L',9,R U' F' U R' F R U F',9,All L0,5164276949500,16975198
D F U D L F U' U' R,9,U F U F R' F U,7,All L0,140532634100,470040
F' R D' L U' B B F B,9,R U' R F' U,5,All L0,8285443200,27619
D' F' L' R' F' L' U L' F',9,F R F' U F R' R' U R,9,All L0,2418371954500,8123440
R' F L' R' D R F' B' L',9,R U' F R' F' F' R' U' R',9,All L0,5078733989800,17035397
F R' D F R' D' F' L B,9,F' R U R' F' U' R,7,All L0,71407675300,240122
